no,elapsed_ms,waktu,sample_id,batch_id,label,mq135_ratio,mq3_ratio,mq4_ratio,tgs_ratio,suhu,lembap
1,203,23.37.03,1,NASI-1,LAYAK,1.038,1.0308,1.0481,1.076,31.2,100.0
2,817,23.37.04,1,NASI-1,LAYAK,1.029,1.0096,1.0342,1.0567,31.2,100.0
3,1227,23.37.04,1,NASI-1,LAYAK,1.0422,1.033,1.0502,1.0695,31.2,100.0
4,1637,23.37.04,1,NASI-1,LAYAK,1.0298,1.0212,1.0363,1.0552,31.2,100.0
5,2253,23.37.05,1,NASI-1,LAYAK,1.029,1.0249,1.0363,1.0575,31.2,100.0
6,2661,23.37.05,1,NASI-1,LAYAK,1.0306,1.0271,1.037,1.0567,31.2,100.0
7,3275,23.37.06,1,NASI-1,LAYAK,1.029,1.0212,1.0363,1.0559,31.2,100.0
8,3685,23.37.07,1,NASI-1,LAYAK,1.0298,1.0169,1.0328,1.0552,31.2,100.0
9,4299,23.37.07,1,NASI-1,LAYAK,1.029,1.0212,1.0342,1.0599,31.2,100.0
10,4709,23.37.08,1,NASI-1,LAYAK,1.0422,1.033,1.0509,1.0711,31.2,100.0
11,5118,23.37.08,1,NASI-1,LAYAK,1.0397,1.0301,1.0328,1.0512,31.2,100.0
12,5733,23.37.09,1,NASI-1,LAYAK,1.0347,1.0286,1.0342,1.0528,31.2,100.0
13,6144,23.37.09,1,NASI-1,LAYAK,1.029,1.0191,1.0328,1.052,31.2,100.0
14,6757,23.37.10,1,NASI-1,LAYAK,1.0306,1.0279,1.0321,1.0504,31.2,100.0
15,7166,23.37.10,1,NASI-1,LAYAK,1.029,1.0169,1.0308,1.0544,31.3,100.0
16,7781,23.37.11,1,NASI-1,LAYAK,1.0372,1.0323,1.0335,1.0567,31.3,100.0
17,8191,23.37.11,1,NASI-1,LAYAK,1.0422,1.0301,1.0453,1.0735,31.3,100.0
18,8805,23.37.12,1,NASI-1,LAYAK,1.029,1.0205,1.0314,1.0575,31.3,100.0
19,9214,23.37.12,1,NASI-1,LAYAK,1.0447,1.0405,1.0502,1.0671,31.3,100.0
20,9624,23.37.12,1,NASI-1,LAYAK,1.0372,1.0249,1.0314,1.0583,31.3,100.0
21,10238,23.37.13,1,NASI-1,LAYAK,1.0143,1.0279,1.0349,1.0536,31.3,100.0
22,10649,23.37.13,1,NASI-1,LAYAK,1.0364,1.0169,1.0342,1.0567,31.3,100.0
23,11263,23.37.14,1,NASI-1,LAYAK,1.0372,1.0338,1.0488,1.0744,31.3,100.0
24,11672,23.37.15,1,NASI-1,LAYAK,1.0364,1.0183,1.0335,1.0575,31.3,100.0
25,12287,23.37.15,1,NASI-1,LAYAK,1.043,1.0169,1.0363,1.0575,31.3,100.0
26,12696,23.37.16,1,NASI-1,LAYAK,1.0397,1.0271,1.0474,1.0744,31.3,100.0
27,13311,23.37.16,1,NASI-1,LAYAK,1.029,1.0161,1.0349,1.0575,31.3,100.0
28,13721,23.37.17,1,NASI-1,LAYAK,1.0355,1.0286,1.0488,1.0711,31.3,100.0
29,14130,23.37.17,1,NASI-1,LAYAK,1.029,1.0169,1.0342,1.0583,31.3,100.0
30,14745,23.37.18,1,NASI-1,LAYAK,1.0265,1.0169,1.0363,1.0567,31.3,100.0
31,15154,23.37.18,1,NASI-1,LAYAK,1.0257,1.0154,1.037,1.0583,31.3,100.0
32,15768,23.37.19,1,NASI-1,LAYAK,1.0249,1.0161,1.037,1.0599,31.3,100.0
33,16178,23.37.19,1,NASI-1,LAYAK,1.0232,1.0118,1.0335,1.0575,31.3,100.0
34,16793,23.37.20,1,NASI-1,LAYAK,1.0224,1.0161,1.0342,1.0599,31.3,100.0
35,17202,23.37.20,1,NASI-1,LAYAK,1.038,1.0249,1.0502,1.0735,31.3,100.0
36,17826,23.37.21,1,NASI-1,LAYAK,1.0273,1.0161,1.0321,1.0583,31.3,100.0
37,18226,23.37.21,1,NASI-1,LAYAK,1.0372,1.0234,1.0495,1.0735,31.3,100.0
38,18636,23.37.21,1,NASI-1,LAYAK,1.0224,1.0169,1.0335,1.0599,31.3,100.0
39,19250,23.37.22,1,NASI-1,LAYAK,1.0265,1.0147,1.0335,1.0607,31.3,100.0
40,19660,23.37.23,1,NASI-1,LAYAK,1.024,1.0154,1.0363,1.0583,31.3,100.0
41,20277,23.37.23,1,NASI-1,LAYAK,1.0216,1.0125,1.0376,1.0575,31.3,100.0
42,20684,23.37.24,1,NASI-1,LAYAK,1.02,1.0118,1.0342,1.0567,31.3,100.0
43,21298,23.37.24,1,NASI-1,LAYAK,1.0208,1.014,1.039,1.0575,31.3,100.0
44,21708,23.37.25,1,NASI-1,LAYAK,1.0364,1.0183,1.0509,1.0727,31.3,100.0
45,22118,23.37.25,1,NASI-1,LAYAK,1.0208,1.0125,1.0363,1.0599,31.3,100.0
46,22732,23.37.26,1,NASI-1,LAYAK,1.029,1.0154,1.039,1.0623,31.3,100.0
47,23142,23.37.26,1,NASI-1,LAYAK,1.0249,1.0147,1.0397,1.0599,31.3,100.0
48,23756,23.37.27,1,NASI-1,LAYAK,1.0151,1.0096,1.0383,1.0623,31.3,100.0
49,24166,23.37.27,1,NASI-1,LAYAK,1.0232,1.0169,1.0335,1.0607,31.3,100.0
50,24780,23.37.28,1,NASI-1,LAYAK,1.0232,1.0104,1.0342,1.0615,31.3,100.0
51,25192,23.37.28,1,NASI-1,LAYAK,1.0192,1.0068,1.0335,1.0583,31.3,100.0
52,25804,23.37.29,1,NASI-1,LAYAK,1.0232,1.0169,1.037,1.0599,31.3,100.0
53,26214,23.37.29,1,NASI-1,LAYAK,1.038,1.0293,1.0349,1.0744,31.3,100.0
54,26624,23.37.29,1,NASI-1,LAYAK,1.0192,1.0118,1.0253,1.0567,31.3,100.0
55,27238,23.37.30,1,NASI-1,LAYAK,1.0232,1.0132,1.0301,1.0583,31.3,100.0
56,27648,23.37.31,1,NASI-1,LAYAK,1.0232,1.0125,1.037,1.0567,31.3,100.0
57,28262,23.37.31,1,NASI-1,LAYAK,1.0306,1.001,1.037,1.0623,31.3,100.0
58,28672,23.37.32,1,NASI-1,LAYAK,1.0265,1.0147,1.0397,1.0552,31.3,100.0
